block,inicio,fin,n_puntos,duracion_min,duracion_horas,duracion_dias,tipo_gap
2,2025-01-12 23:40:00,2025-01-12 23:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
4,2025-01-23 10:30:00,2025-01-23 10:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
6,2025-01-28 03:00:00,2025-01-28 03:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
8,2025-01-28 06:00:00,2025-01-28 06:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
10,2025-01-29 23:40:00,2025-01-30 08:00:00,51,510,8.5,0.3541666666666667,medio
12,2025-01-30 14:00:00,2025-01-30 14:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
14,2025-01-30 15:40:00,2025-01-30 15:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
16,2025-01-30 16:10:00,2025-01-30 16:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
18,2025-02-01 23:00:00,2025-02-01 23:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
20,2025-02-04 15:30:00,2025-02-04 16:10:00,5,50,0.8333333333333334,0.034722222222222224,medio
22,2025-02-05 13:40:00,2025-02-05 13:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
24,2025-02-08 12:50:00,2025-02-08 12:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
26,2025-02-11 08:20:00,2025-02-11 08:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
28,2025-02-16 18:10:00,2025-02-16 18:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
30,2025-02-17 01:50:00,2025-02-17 01:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
32,2025-02-17 23:20:00,2025-02-17 23:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
34,2025-02-19 14:50:00,2025-02-19 15:00:00,2,20,0.3333333333333333,0.013888888888888888,corto
36,2025-02-20 13:40:00,2025-02-20 13:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
38,2025-02-26 23:50:00,2025-02-27 00:00:00,2,20,0.3333333333333333,0.013888888888888888,corto
40,2025-02-28 12:30:00,2025-02-28 12:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
42,2025-03-02 22:30:00,2025-03-02 22:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
44,2025-03-03 11:40:00,2025-03-03 11:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
46,2025-03-04 13:00:00,2025-03-04 13:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
48,2025-03-05 12:30:00,2025-03-05 12:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
50,2025-03-06 06:10:00,2025-03-06 06:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
52,2025-03-06 07:00:00,2025-03-06 07:10:00,2,20,0.3333333333333333,0.013888888888888888,corto
54,2025-03-06 16:00:00,2025-03-06 16:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
56,2025-03-08 10:50:00,2025-03-08 10:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
58,2025-03-08 14:50:00,2025-03-08 14:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
60,2025-03-09 21:40:00,2025-03-09 21:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
62,2025-03-10 04:00:00,2025-03-10 04:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
64,2025-03-11 11:40:00,2025-03-11 11:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
66,2025-03-11 12:20:00,2025-03-11 12:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
68,2025-03-12 01:10:00,2025-03-12 01:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
70,2025-03-12 16:10:00,2025-03-12 16:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
72,2025-03-12 16:30:00,2025-03-12 16:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
74,2025-03-14 09:40:00,2025-03-14 09:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
76,2025-03-15 23:40:00,2025-03-15 23:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
78,2025-03-17 07:00:00,2025-03-17 07:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
80,2025-03-18 13:10:00,2025-03-18 13:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
82,2025-03-18 23:50:00,2025-03-18 23:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
84,2025-03-19 12:00:00,2025-03-19 12:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
86,2025-03-19 15:50:00,2025-03-19 15:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
88,2025-03-21 03:30:00,2025-03-21 03:40:00,2,20,0.3333333333333333,0.013888888888888888,corto
90,2025-03-21 12:00:00,2025-03-21 12:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
92,2025-03-21 13:00:00,2025-03-21 13:10:00,2,20,0.3333333333333333,0.013888888888888888,corto
94,2025-03-22 05:30:00,2025-03-22 05:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
96,2025-03-22 05:50:00,2025-03-22 05:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
98,2025-03-22 07:50:00,2025-03-22 07:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
100,2025-03-22 12:10:00,2025-03-22 12:20:00,2,20,0.3333333333333333,0.013888888888888888,corto
102,2025-03-22 13:20:00,2025-03-22 13:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
104,2025-03-22 20:30:00,2025-03-22 20:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
106,2025-03-22 22:50:00,2025-03-22 22:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
108,2025-03-23 02:50:00,2025-03-23 02:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
110,2025-03-23 23:30:00,2025-03-23 23:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
112,2025-03-25 16:40:00,2025-03-25 16:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
114,2025-03-25 17:00:00,2025-03-25 17:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
116,2025-03-26 02:20:00,2025-03-26 02:30:00,2,20,0.3333333333333333,0.013888888888888888,corto
118,2025-03-26 03:00:00,2025-03-26 03:30:00,4,40,0.6666666666666666,0.027777777777777776,medio
120,2025-03-26 13:20:00,2025-03-26 13:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
122,2025-03-26 15:50:00,2025-03-26 15:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
124,2025-03-26 22:40:00,2025-03-26 22:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
126,2025-03-27 00:50:00,2025-03-27 00:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
128,2025-03-27 13:00:00,2025-03-27 13:10:00,2,20,0.3333333333333333,0.013888888888888888,corto
130,2025-03-28 22:20:00,2025-03-28 22:40:00,3,30,0.5,0.020833333333333332,corto
132,2025-03-28 23:10:00,2025-03-28 23:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
134,2025-03-29 11:00:00,2025-03-29 11:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
136,2025-03-29 11:20:00,2025-03-29 11:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
138,2025-03-29 12:30:00,2025-03-29 12:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
140,2025-03-29 13:10:00,2025-03-29 13:20:00,2,20,0.3333333333333333,0.013888888888888888,corto
142,2025-03-29 16:20:00,2025-03-29 16:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
144,2025-03-29 17:10:00,2025-03-29 17:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
146,2025-03-29 23:50:00,2025-03-30 00:10:00,3,30,0.5,0.020833333333333332,corto
148,2025-03-30 00:30:00,2025-03-30 01:20:00,6,60,1.0,0.041666666666666664,medio
150,2025-03-30 03:40:00,2025-03-30 04:10:00,4,40,0.6666666666666666,0.027777777777777776,medio
152,2025-03-30 05:50:00,2025-03-30 05:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
154,2025-03-30 06:50:00,2025-03-30 06:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
156,2025-03-30 09:30:00,2025-03-30 09:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
158,2025-03-30 10:10:00,2025-03-30 10:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
160,2025-03-31 01:30:00,2025-03-31 01:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
162,2025-03-31 02:00:00,2025-03-31 02:10:00,2,20,0.3333333333333333,0.013888888888888888,corto
164,2025-03-31 02:50:00,2025-03-31 02:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
166,2025-03-31 04:10:00,2025-03-31 04:30:00,3,30,0.5,0.020833333333333332,corto
168,2025-03-31 12:00:00,2025-03-31 12:20:00,3,30,0.5,0.020833333333333332,corto
170,2025-03-31 12:50:00,2025-03-31 14:50:00,13,130,2.1666666666666665,0.09027777777777778,medio
172,2025-03-31 15:10:00,2025-03-31 15:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
174,2025-04-01 00:50:00,2025-04-01 00:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
176,2025-04-02 01:00:00,2025-04-02 01:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
178,2025-04-03 05:30:00,2025-04-03 05:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
180,2025-04-03 12:40:00,2025-04-03 12:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
182,2025-04-04 04:10:00,2025-04-04 04:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
184,2025-04-04 08:10:00,2025-04-05 16:00:00,192,1920,32.0,1.3333333333333333,largo
186,2025-04-07 02:00:00,2025-04-07 02:10:00,2,20,0.3333333333333333,0.013888888888888888,corto
188,2025-04-07 02:40:00,2025-04-07 02:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
190,2025-04-07 04:30:00,2025-04-07 04:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
192,2025-04-08 00:50:00,2025-04-08 00:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
194,2025-04-08 02:00:00,2025-04-08 02:10:00,2,20,0.3333333333333333,0.013888888888888888,corto
196,2025-04-08 04:00:00,2025-04-08 04:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
198,2025-04-08 04:50:00,2025-04-08 04:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
200,2025-04-11 10:30:00,2025-04-11 10:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
202,2025-04-12 01:00:00,2025-04-12 01:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
204,2025-04-12 02:10:00,2025-04-12 02:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
206,2025-04-12 03:00:00,2025-04-12 03:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
208,2025-04-12 05:00:00,2025-04-12 05:10:00,2,20,0.3333333333333333,0.013888888888888888,corto
210,2025-04-13 02:00:00,2025-04-13 02:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
212,2025-04-13 03:10:00,2025-04-13 03:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
214,2025-04-13 09:40:00,2025-04-13 09:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
216,2025-04-13 13:00:00,2025-04-13 13:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
218,2025-04-14 01:10:00,2025-04-14 01:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
220,2025-04-14 01:30:00,2025-04-14 01:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
222,2025-04-14 23:50:00,2025-04-14 23:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
224,2025-04-15 11:40:00,2025-04-15 11:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
226,2025-04-15 16:20:00,2025-04-15 16:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
228,2025-04-16 02:40:00,2025-04-16 02:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
230,2025-04-16 03:20:00,2025-04-16 03:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
232,2025-04-16 05:50:00,2025-04-16 06:10:00,3,30,0.5,0.020833333333333332,corto
234,2025-04-17 05:00:00,2025-04-17 05:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
236,2025-04-17 06:10:00,2025-04-17 06:20:00,2,20,0.3333333333333333,0.013888888888888888,corto
238,2025-04-17 14:00:00,2025-04-17 14:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
240,2025-04-18 08:50:00,2025-04-18 08:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
242,2025-04-18 11:00:00,2025-04-18 11:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
244,2025-04-19 03:10:00,2025-04-19 03:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
246,2025-04-19 13:20:00,2025-04-19 13:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
248,2025-04-20 23:50:00,2025-04-20 23:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
250,2025-04-21 02:10:00,2025-04-21 02:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
252,2025-04-21 06:00:00,2025-04-21 06:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
254,2025-04-22 03:50:00,2025-04-22 05:40:00,12,120,2.0,0.08333333333333333,medio
256,2025-04-22 06:30:00,2025-04-22 06:40:00,2,20,0.3333333333333333,0.013888888888888888,corto
258,2025-04-22 07:50:00,2025-04-22 07:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
260,2025-04-22 10:30:00,2025-04-22 10:50:00,3,30,0.5,0.020833333333333332,corto
262,2025-04-22 12:20:00,2025-04-23 10:10:00,132,1320,22.0,0.9166666666666666,medio
264,2025-04-23 10:40:00,2025-04-23 10:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
266,2025-04-25 01:30:00,2025-04-25 01:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
268,2025-04-25 02:30:00,2025-04-25 02:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
270,2025-04-25 02:50:00,2025-04-25 02:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
272,2025-04-25 03:20:00,2025-04-25 03:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
274,2025-04-25 05:30:00,2025-04-25 05:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
276,2025-04-25 08:20:00,2025-04-25 08:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
278,2025-05-08 09:20:00,2025-05-08 09:30:00,2,20,0.3333333333333333,0.013888888888888888,corto
280,2025-05-09 05:30:00,2025-05-09 05:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
282,2025-05-09 05:50:00,2025-05-09 05:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
284,2025-05-09 06:30:00,2025-05-09 06:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
286,2025-05-09 06:50:00,2025-05-09 07:20:00,4,40,0.6666666666666666,0.027777777777777776,medio
288,2025-05-09 07:40:00,2025-05-09 07:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
290,2025-05-09 08:10:00,2025-05-09 08:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
292,2025-05-09 08:40:00,2025-05-09 08:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
294,2025-05-09 19:20:00,2025-05-09 19:30:00,2,20,0.3333333333333333,0.013888888888888888,corto
296,2025-05-18 06:30:00,2025-05-18 06:40:00,2,20,0.3333333333333333,0.013888888888888888,corto
298,2025-05-18 09:10:00,2025-05-18 09:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
300,2025-05-21 10:20:00,2025-05-21 10:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
302,2025-05-21 11:40:00,2025-05-21 11:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
304,2025-05-24 23:10:00,2025-05-24 23:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
306,2025-05-29 14:20:00,2025-05-29 14:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
308,2025-06-09 06:50:00,2025-06-09 07:00:00,2,20,0.3333333333333333,0.013888888888888888,corto
310,2025-06-09 12:30:00,2025-06-09 12:50:00,3,30,0.5,0.020833333333333332,corto
312,2025-06-12 10:00:00,2025-06-12 13:10:00,20,200,3.3333333333333335,0.1388888888888889,medio
314,2025-06-12 17:40:00,2025-06-12 17:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
316,2025-06-17 11:00:00,2025-06-17 11:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
318,2025-06-18 15:10:00,2025-06-19 10:00:00,114,1140,19.0,0.7916666666666666,medio
320,2025-06-19 16:50:00,2025-06-19 16:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
322,2025-06-25 10:00:00,2025-06-25 12:20:00,15,150,2.5,0.10416666666666667,medio
324,2025-07-07 07:40:00,2025-07-07 07:50:00,2,20,0.3333333333333333,0.013888888888888888,corto
326,2025-07-07 08:10:00,2025-07-07 08:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
328,2025-07-09 13:20:00,2025-07-09 13:30:00,2,20,0.3333333333333333,0.013888888888888888,corto
330,2025-07-11 04:50:00,2025-07-11 04:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
332,2025-07-18 06:20:00,2025-07-18 06:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
334,2025-07-25 10:50:00,2025-07-25 10:50:00,1,10,0.16666666666666666,0.006944444444444444,corto
336,2025-07-31 12:30:00,2025-07-31 12:40:00,2,20,0.3333333333333333,0.013888888888888888,corto
338,2025-08-01 10:10:00,2025-08-01 10:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
340,2025-08-09 02:00:00,2025-08-09 02:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
342,2025-08-12 10:10:00,2025-08-12 14:40:00,28,280,4.666666666666667,0.19444444444444445,medio
344,2025-08-13 09:40:00,2025-08-13 09:40:00,1,10,0.16666666666666666,0.006944444444444444,corto
346,2025-08-13 10:10:00,2025-08-13 10:10:00,1,10,0.16666666666666666,0.006944444444444444,corto
348,2025-08-13 10:30:00,2025-08-13 10:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
350,2025-08-13 11:30:00,2025-08-13 11:30:00,1,10,0.16666666666666666,0.006944444444444444,corto
352,2025-08-20 06:00:00,2025-08-20 06:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
354,2025-09-15 06:00:00,2025-09-15 06:00:00,1,10,0.16666666666666666,0.006944444444444444,corto
356,2025-09-27 08:20:00,2025-09-27 08:20:00,1,10,0.16666666666666666,0.006944444444444444,corto
